phone_id,battery_power,clock_speed,m_dep,mobile_wt,n_cores,ram,talk_time,price_range,sc_h,sc_w,blue,dual_sim,four_g,touch_screen,wifi,int_memory,total_camera,total_pixels,screen_ratio,memory_per_core,battery_talk_ratio
78,1448,0.5,0.8,138,7,3378,2,3,13,11,1,1,1,1,1,45,17,982680,1.1818181818181819,482.57142857142856,724.0
79,1407,2.4,0.7,104,4,2192,13,2,9,7,1,0,1,0,1,22,5,1426324,1.2857142857142858,548.0,108.23076923076923
80,605,1.0,0.1,142,3,392,4,0,15,6,0,0,1,0,0,9,24,164160,2.5,130.66666666666666,151.25
81,1038,1.2,0.7,141,1,3709,12,3,11,0,0,0,0,1,1,43,8,2552,inf,3709.0,86.5
82,797,2.9,0.5,90,4,590,6,0,9,2,1,1,0,1,0,38,10,1078119,4.5,147.5,132.83333333333334
83,819,0.6,0.9,188,6,1814,13,1,5,4,0,1,1,0,1,42,28,421038,1.25,302.3333333333333,63.0
84,1114,2.8,0.4,197,3,907,17,0,10,7,0,0,1,1,0,9,19,1113840,1.4285714285714286,302.3333333333333,65.52941176470588
85,1234,1.6,0.6,172,1,1449,6,0,11,7,1,1,0,0,1,33,4,129148,1.5714285714285714,1449.0,205.66666666666666
86,1199,2.5,0.2,116,4,3448,10,3,17,13,1,1,1,0,1,16,35,1812736,1.3076923076923077,862.0,119.9
87,1103,1.0,0.7,111,6,1837,16,1,8,7,0,1,0,1,1,29,14,1471140,1.1428571428571428,306.1666666666667,68.9375
88,1589,0.6,0.9,85,7,3464,6,3,19,10,1,1,1,1,1,58,7,384714,1.9,494.85714285714283,264.8333333333333
89,999,2.9,0.2,199,4,2593,16,2,14,11,0,1,1,1,0,64,30,2257552,1.2727272727272727,648.25,62.4375
90,1510,0.9,0.9,180,5,3484,11,3,9,6,1,1,0,1,1,45,5,1240416,1.5,696.8,137.27272727272728
91,1008,0.8,1.0,114,3,2009,11,1,10,3,0,0,0,0,0,61,26,1208394,3.3333333333333335,669.6666666666666,91.63636363636364
92,1127,2.9,0.8,163,1,2048,17,1,11,5,1,1,1,1,1,57,18,973472,2.2,2048.0,66.29411764705883
93,1412,2.4,0.8,96,8,837,4,1,15,9,1,0,0,0,1,25,22,977304,1.6666666666666667,104.625,353.0
94,1496,2.0,0.5,182,5,854,7,0,16,0,1,1,0,1,1,42,9,71136,inf,170.8,213.71428571428572
95,1083,2.9,0.8,178,3,3210,4,3,13,3,1,1,1,0,0,64,12,1145950,4.333333333333333,1070.0,270.75
96,668,0.5,0.1,155,5,2746,8,2,9,5,0,1,0,1,1,3,13,801198,1.8,549.2,83.5
97,1309,1.1,0.5,100,4,2334,11,2,10,1,0,1,0,0,1,33,14,780914,10.0,583.5,119.0
98,1724,2.0,0.5,177,3,2822,16,3,19,3,0,1,1,1,0,57,7,3088020,6.333333333333333,940.6666666666666,107.75
99,1977,2.0,1.0,171,7,1971,14,2,18,7,1,1,1,1,0,54,25,1522692,2.5714285714285716,281.57142857142856,141.21428571428572
100,885,2.3,0.4,103,7,1410,5,0,16,10,0,1,1,1,1,15,0,616738,1.6,201.42857142857142,177.0
101,879,2.5,0.7,83,6,349,2,0,16,10,1,0,1,0,1,14,26,445315,1.6,58.166666666666664,439.5
102,1322,1.7,0.8,140,3,1418,12,1,19,17,0,1,0,1,0,7,15,352230,1.1176470588235294,472.6666666666667,110.16666666666667
103,1137,1.0,1.0,196,3,3616,12,3,13,5,1,0,0,1,1,7,37,1110618,2.6,1205.3333333333333,94.75
104,1355,2.3,0.2,132,5,880,8,0,19,4,0,0,1,1,0,23,26,580041,4.75,176.0,169.375
105,1665,0.5,0.2,194,6,1601,14,2,18,17,1,0,1,0,0,60,21,2647248,1.0588235294117647,266.8333333333333,118.92857142857143
106,657,2.5,0.7,141,2,1412,18,0,14,3,0,0,0,1,0,37,1,457436,4.666666666666667,706.0,36.5
107,593,0.5,0.4,156,7,1692,7,1,6,2,0,0,0,0,0,31,13,1623861,3.0,241.71428571428572,84.71428571428571
108,1883,0.5,0.3,146,6,2600,20,3,16,8,1,0,1,0,0,10,16,1453804,2.0,433.3333333333333,94.15
109,1732,1.1,0.8,119,8,1308,11,1,16,7,1,0,1,0,1,12,13,725944,2.2857142857142856,163.5,157.45454545454547
110,543,0.5,0.7,192,5,2413,15,1,17,14,0,0,0,0,0,57,4,384744,1.2142857142857142,482.6,36.2
111,1939,2.8,0.6,199,4,1047,18,0,14,10,1,1,1,1,0,55,10,166400,1.4,261.75,107.72222222222223
112,553,2.4,0.5,121,7,1204,8,0,11,4,0,1,1,1,1,8,4,293150,2.75,172.0,69.125
113,832,0.7,0.7,103,4,1799,11,1,5,2,0,1,1,0,1,39,5,188000,2.5,449.75,75.63636363636364
114,1661,1.9,1.0,172,5,2676,11,3,12,6,0,1,0,1,1,23,15,1382364,2.0,535.2,151.0
115,1657,2.4,0.1,198,5,2597,14,3,18,1,1,0,0,0,0,42,19,3178920,18.0,519.4,118.35714285714286
116,1135,2.0,0.3,83,1,3029,9,3,19,17,1,1,0,1,1,46,4,540878,1.1176470588235294,3029.0,126.11111111111111
117,1775,1.5,0.1,163,1,2343,14,3,19,13,1,0,0,1,1,41,10,3052077,1.4615384615384615,2343.0,126.78571428571429
118,783,1.8,1.0,106,3,2016,18,1,16,4,0,1,1,1,0,43,4,1762258,4.0,672.0,43.5
119,617,2.3,0.5,199,7,2213,7,1,18,13,1,0,0,0,0,32,20,671232,1.3846153846153846,316.14285714285717,88.14285714285714
120,867,1.4,0.7,135,6,790,3,0,13,6,0,1,1,1,0,4,1,138180,2.1666666666666665,131.66666666666666,289.0
121,1310,1.1,1.0,194,5,3182,5,2,8,4,1,1,0,1,0,7,27,60021,2.0,636.4,262.0
122,1804,0.5,0.6,153,7,3472,20,3,9,1,0,0,1,0,1,22,28,1440552,9.0,496.0,90.2
123,1900,2.3,0.2,89,7,2871,13,3,12,1,1,0,1,1,1,18,10,1752355,12.0,410.14285714285717,146.15384615384616
124,909,1.4,0.3,82,8,3187,4,2,12,9,1,0,0,0,0,53,0,617855,1.3333333333333333,398.375,227.25
125,1084,2.6,0.9,107,3,1945,10,1,15,4,1,0,1,1,0,40,14,248262,3.75,648.3333333333334,108.4
126,1308,1.3,0.9,199,1,488,9,0,5,3,0,1,0,1,0,46,20,271975,1.6666666666666667,488.0,145.33333333333334
127,1778,0.5,0.5,102,3,1214,14,1,5,0,0,0,0,0,0,15,0,2823530,inf,404.6666666666667,127.0
128,1701,1.6,0.3,194,8,2598,6,2,12,9,1,1,0,1,0,10,10,735900,1.3333333333333333,324.75,283.5
129,772,2.4,0.5,80,4,3242,4,3,18,11,1,1,1,1,0,10,3,2126304,1.6363636363636365,810.5,193.0
130,825,0.5,0.9,130,3,3534,6,3,10,4,1,1,0,1,0,52,17,515211,2.5,1178.0,137.5
131,1379,1.1,0.8,200,2,3426,17,3,5,4,0,0,1,1,1,36,12,740288,1.25,1713.0,81.11764705882354
132,1166,2.0,0.8,198,5,2488,15,2,13,5,0,0,1,0,0,25,7,70977,2.6,497.6,77.73333333333333
133,1659,2.8,0.6,89,1,3255,9,3,19,14,0,0,0,0,1,16,25,738738,1.3571428571428572,3255.0,184.33333333333334
134,826,2.4,0.3,88,4,2863,18,2,9,3,1,1,1,0,1,58,1,140694,3.0,715.75,45.888888888888886
135,1564,2.3,0.5,189,6,1496,7,1,6,4,0,0,1,1,1,25,21,2473935,1.5,249.33333333333334,223.42857142857142
136,1957,0.9,0.6,181,3,3801,7,3,12,0,0,1,0,0,1,31,27,685872,inf,1267.0,279.57142857142856
137,1571,1.4,0.1,100,6,666,13,0,12,10,0,0,1,1,0,19,1,996774,1.2,111.0,120.84615384615384
138,1414,2.0,0.8,99,7,3799,7,3,17,7,0,1,0,0,1,54,5,217198,2.4285714285714284,542.7142857142857,202.0
139,1790,2.5,0.1,184,1,1366,20,1,7,0,0,1,0,1,1,2,23,492624,inf,1366.0,89.5
140,645,0.5,1.0,197,7,2962,4,2,12,9,0,0,0,1,1,41,11,189660,1.3333333333333333,423.14285714285717,161.25
141,668,2.9,0.2,195,8,2399,7,1,10,5,0,1,0,1,1,30,19,551232,2.0,299.875,95.42857142857143
142,1652,1.1,0.7,89,4,2338,20,2,12,8,1,1,0,0,0,36,6,395632,1.5,584.5,82.6
143,1213,0.5,0.5,108,5,2700,9,2,12,3,1,0,0,0,1,16,0,282048,4.0,540.0,134.77777777777777
144,1272,2.5,0.9,133,6,2235,4,1,19,4,1,1,0,0,0,22,8,404745,4.75,372.5,318.0
145,866,0.5,0.5,179,8,3825,2,3,12,11,0,1,1,1,1,46,12,1166712,1.0909090909090908,478.125,433.0
146,536,2.4,0.3,182,7,284,4,0,12,9,0,1,1,1,0,3,26,2133054,1.3333333333333333,40.57142857142857,134.0
147,523,2.6,0.1,155,8,1427,9,0,9,1,0,1,0,1,0,14,3,316768,9.0,178.375,58.111111111111114
148,1753,0.5,0.1,134,1,1324,17,2,17,0,0,1,1,0,1,31,18,3062340,inf,1324.0,103.11764705882354
149,1218,1.8,0.5,147,3,398,5,0,17,0,0,1,1,0,0,14,5,141064,inf,132.66666666666666,243.6
150,1537,2.5,0.3,137,1,3685,17,3,18,17,1,0,1,1,1,43,9,948909,1.0588235294117647,3685.0,90.41176470588235
151,786,2.2,0.5,141,7,2390,5,2,12,11,0,1,0,0,1,33,6,860379,1.0909090909090908,341.42857142857144,157.2
152,1678,2.1,0.9,134,3,278,10,0,19,0,0,0,1,1,0,64,14,233696,inf,92.66666666666667,167.8
153,1814,1.4,0.4,141,2,3556,16,3,18,12,0,1,1,0,0,9,3,594216,1.5,1778.0,113.375
154,1101,1.8,0.2,148,2,2196,19,1,12,6,0,0,0,1,1,31,7,491103,2.0,1098.0,57.94736842105263
155,1461,2.4,0.5,141,7,3799,4,3,16,1,0,1,1,0,0,40,7,1641970,16.0,542.7142857142857,365.25
156,1216,3.0,0.4,199,3,2268,4,2,13,5,0,0,0,1,1,47,11,3642884,2.6,756.0,304.0
157,506,1.6,0.8,159,1,2965,15,2,13,10,0,0,1,0,0,41,13,896875,1.3,2965.0,33.733333333333334
158,843,0.5,0.1,147,5,2341,20,1,10,1,1,0,1,1,1,56,18,112000,10.0,468.2,42.15
159,742,2.2,0.2,190,7,3557,12,3,16,11,0,1,0,1,1,56,18,784143,1.4545454545454546,508.14285714285717,61.833333333333336
160,1692,2.1,0.9,176,6,1354,19,1,16,7,1,0,1,0,0,61,15,1946100,2.2857142857142856,225.66666666666666,89.05263157894737
161,1485,1.0,0.7,84,2,2147,11,2,19,1,0,0,1,1,0,32,11,516630,19.0,1073.5,135.0
162,1547,2.9,0.7,166,2,505,3,0,12,2,0,1,0,1,1,45,14,343970,6.0,252.5,515.6666666666666
163,1692,2.3,0.9,139,1,1394,6,1,16,10,0,1,1,1,0,46,10,1297450,1.6,1394.0,282.0
164,637,2.3,0.8,97,4,374,8,0,18,4,0,0,1,0,1,60,7,2237625,4.5,93.5,79.625
165,1224,0.5,0.4,109,6,506,11,0,10,0,0,0,1,1,1,6,34,617022,inf,84.33333333333333,111.27272727272727
166,1356,2.8,0.5,198,6,3702,19,3,17,0,0,0,0,0,0,29,0,3196596,inf,617.0,71.36842105263158
167,1840,0.5,0.7,142,1,1078,10,1,8,0,0,1,0,0,0,34,28,480495,inf,1078.0,184.0
168,1481,0.7,0.6,96,5,2945,16,2,10,5,1,1,1,1,1,37,17,177828,2.0,589.0,92.5625
169,961,1.5,0.3,152,6,2981,7,2,15,6,1,1,0,1,1,51,26,344034,2.5,496.8333333333333,137.28571428571428
170,1296,0.9,0.5,124,5,490,4,0,7,1,0,1,1,1,1,14,3,1031592,7.0,98.0,324.0
171,1193,0.9,0.5,166,1,536,4,0,17,14,0,0,0,0,1,26,31,1262170,1.2142857142857142,536.0,298.25
172,1441,2.1,0.1,118,8,2317,7,2,16,4,0,1,1,0,1,3,28,617967,4.0,289.625,205.85714285714286
173,517,1.4,0.8,183,4,3704,11,3,17,16,0,1,1,0,1,33,11,642840,1.0625,926.0,47.0
174,748,1.7,0.9,150,8,2126,7,1,18,9,1,0,1,0,0,27,4,699300,2.0,265.75,106.85714285714286
175,1126,2.4,0.4,160,6,2050,12,2,7,6,1,0,1,1,1,10,5,1970253,1.1666666666666667,341.6666666666667,93.83333333333333
176,1572,0.6,0.2,157,7,2462,10,3,12,8,0,0,1,0,0,58,8,2148133,1.5,351.7142857142857,157.2
177,1569,2.8,0.3,110,4,1260,17,1,9,2,0,1,0,0,0,44,37,87390,4.5,315.0,92.29411764705883
178,1270,0.6,0.5,101,7,3770,13,3,5,3,1,1,1,1,0,32,8,252655,1.6666666666666667,538.5714285714286,97.6923076923077
179,1854,3.0,0.1,101,5,1886,20,1,17,4,0,0,1,1,0,8,7,317262,4.25,377.2,92.7
180,625,1.2,0.2,183,4,3323,7,2,9,1,1,1,1,1,1,10,13,534670,9.0,830.75,89.28571428571429
181,1577,0.5,0.3,197,5,2060,12,2,19,6,0,1,1,0,0,42,4,1815165,3.1666666666666665,412.0,131.41666666666666
182,534,0.5,1.0,189,5,3926,20,3,16,12,0,1,1,0,0,16,1,471207,1.3333333333333333,785.2,26.7
183,946,1.7,0.8,143,6,2177,13,2,7,5,0,1,1,1,1,25,23,1131000,1.4,362.8333333333333,72.76923076923077
184,685,0.5,0.8,93,7,728,4,0,14,8,0,0,0,0,1,29,12,280584,1.75,104.0,171.25
185,1949,1.3,0.1,101,5,2478,20,3,14,8,0,1,0,0,0,23,1,953104,1.75,495.6,97.45
186,947,0.8,0.1,197,2,2842,2,2,16,12,0,1,1,0,0,22,13,1434720,1.3333333333333333,1421.0,473.5
187,801,2.2,0.4,165,7,1617,19,1,17,4,1,1,0,0,1,63,6,571350,4.25,231.0,42.1578947368421
188,703,2.7,0.3,113,1,1472,7,0,14,7,1,0,1,0,0,30,32,232170,2.0,1472.0,100.42857142857143
189,1165,2.4,0.2,178,6,764,15,0,19,12,1,0,0,0,0,41,23,468684,1.5833333333333333,127.33333333333333,77.66666666666667
190,1082,0.8,0.1,198,8,2337,17,2,6,1,0,0,0,1,1,38,5,1174326,6.0,292.125,63.64705882352941
191,959,2.6,1.0,84,4,3965,6,3,16,1,1,1,0,0,0,20,34,914991,16.0,991.25,159.83333333333334
192,1502,1.2,0.2,138,5,3693,16,3,17,14,1,0,0,1,0,54,12,38220,1.2142857142857142,738.6,93.875
193,1380,2.1,0.8,92,3,797,15,0,13,2,1,1,1,1,0,4,14,210000,6.5,265.6666666666667,92.0
194,1266,0.5,0.1,95,6,1687,18,2,11,0,0,0,1,0,0,5,9,2317770,inf,281.1666666666667,70.33333333333333
195,1934,2.6,0.1,103,1,2940,2,3,13,9,1,1,1,1,1,46,17,804081,1.4444444444444444,2940.0,967.0
196,1905,0.5,0.5,151,1,1545,10,1,9,5,1,0,1,1,0,6,8,762402,1.8,1545.0,190.5
197,1831,1.4,0.9,150,5,3834,13,3,17,7,0,1,0,1,1,43,7,843791,2.4285714285714284,766.8,140.84615384615384
198,596,1.4,0.6,165,1,2505,15,1,15,4,0,0,0,1,0,46,26,937752,3.75,2505.0,39.733333333333334
199,1562,1.3,0.2,190,5,2243,6,2,12,10,1,1,1,0,0,7,16,984186,1.2,448.6,260.3333333333333
200,1490,0.5,0.3,150,8,3600,7,3,17,9,1,1,1,1,1,64,12,2074488,1.8888888888888888,450.0,212.85714285714286
201,1523,2.4,0.2,117,2,3971,10,3,18,12,1,0,1,1,1,57,11,133133,1.5,1985.5,152.3
202,640,0.6,0.1,163,4,2844,18,2,7,5,0,0,0,1,0,20,15,837090,1.4,711.0,35.55555555555556
203,1526,2.1,0.2,117,7,2227,3,2,18,10,0,0,1,1,0,23,9,539218,1.8,318.14285714285717,508.6666666666667
204,1989,2.5,0.8,94,3,1665,12,2,17,9,0,1,1,1,1,41,13,1646700,1.8888888888888888,555.0,165.75
205,1308,1.9,0.7,106,3,3355,4,3,15,2,0,0,1,0,1,61,7,71685,7.5,1118.3333333333333,327.0
206,609,0.5,0.3,93,4,1866,14,1,11,10,0,0,0,1,1,26,7,1827224,1.1,466.5,43.5
207,1905,0.6,0.4,119,3,1287,16,1,13,4,0,1,1,0,0,36,29,1272150,3.25,429.0,119.0625
208,1703,0.5,0.6,192,1,1046,13,0,5,4,1,0,1,0,1,22,0,353210,1.25,1046.0,131.0
209,1445,2.4,0.4,173,7,1441,13,1,7,4,1,1,1,1,1,20,22,1712185,1.75,205.85714285714286,111.15384615384616
210,1087,1.3,0.3,166,3,690,6,0,14,6,0,0,1,0,1,16,9,173755,2.3333333333333335,230.0,181.16666666666666
211,671,0.9,0.7,105,7,2504,15,2,6,4,0,1,0,0,0,30,27,1007064,1.5,357.7142857142857,44.733333333333334
212,1472,2.3,0.1,168,6,2677,8,2,19,15,1,0,0,0,0,61,25,746920,1.2666666666666666,446.1666666666667,184.0
213,765,0.5,0.3,115,8,2243,4,2,11,7,0,1,1,0,1,47,1,1824833,1.5714285714285714,280.375,191.25
214,1642,0.5,0.3,171,6,2984,17,2,13,4,0,1,1,0,1,8,33,112617,3.25,497.3333333333333,96.58823529411765
215,1265,1.5,0.7,182,5,1362,12,1,5,0,0,0,0,0,1,49,23,576840,inf,272.4,105.41666666666667
216,664,1.1,0.1,110,7,3629,6,3,19,15,1,1,1,1,1,51,5,1036078,1.2666666666666666,518.4285714285714,110.66666666666667
217,1277,0.5,0.4,142,6,3559,6,3,18,17,1,1,1,1,0,35,6,451140,1.0588235294117647,593.1666666666666,212.83333333333334
218,1395,1.8,0.1,111,3,2571,13,2,11,0,0,1,0,0,1,23,1,150165,inf,857.0,107.3076923076923
219,1539,2.6,0.1,159,8,2107,10,2,15,9,1,0,0,0,1,41,0,1852592,1.6666666666666667,263.375,153.9
220,1049,2.2,0.5,135,5,1022,13,0,11,3,1,0,0,0,0,63,26,214323,3.6666666666666665,204.4,80.6923076923077
221,1827,1.7,0.5,128,5,2844,10,2,14,9,0,0,1,1,0,39,20,56100,1.5555555555555556,568.8,182.7
222,903,1.0,0.4,91,1,711,10,0,9,5,0,1,1,1,0,50,0,1519050,1.8,711.0,90.3
