specobjid,plate,mjd,petroFlux_z,petroFlux_i,petroFlux_r,run,petroFlux_g,petroR50_z,petroR50_u,fiberid,class
1.41e+19,12531,58932,118.4626,118.4384,110.7903,756,90.88055,0.616629,0.6626138,210,STAR
1.41e+19,12544,58928,29.12289,30.62036,25.4411,1462,22.9051,0.6152939,0.7499648,67,QSO
1.41e+19,12531,58932,44.68533,41.38257,31.50777,756,18.06881,1.203603,0.7486503,26,QSO
1.41e+19,12527,58930,29.94186,29.90092,31.5322,756,25.6142,0.7497355,0.7424327,176,QSO
1.41e+19,12525,58932,14.32126,20.99537,27.22527,1239,37.70054,0.6507765,0.8621832,323,STAR
1.41e+19,12545,58930,78.8702,75.44653,68.43239,1239,54.0624,0.7825378,0.7532647,588,STAR
1.41e+19,12547,58928,289.1486,285.0988,258.1886,1239,209.2011,0.7863184,0.7019494,56,STAR
1.41e+19,12547,58928,68.82533,67.82564,61.15411,2126,45.40313,0.6976278,0.7929635,760,STAR
1.41e+19,12533,58931,247.3168,245.7508,222.7987,756,169.9243,0.641395,0.7359972,527,STAR
1.41e+19,12527,58930,12.73843,16.49607,18.31161,756,20.3351,0.6301754,0.6972023,60,STAR
1.41e+19,12531,58932,69.21329,65.61143,60.02527,756,43.54414,0.7283143,0.6953239,480,STAR
1.41e+19,12533,58931,801.3185,557.6196,378.0439,1239,151.3678,2.898962,3.216667,238,GALAXY
1.41e+19,12525,58932,28.51657,27.96251,28.17968,1239,21.32984,0.7569162,0.8106436,454,QSO
1.41e+19,12525,58932,16.52157,18.19404,17.95715,756,13.94703,0.5847589,0.6521927,821,QSO
1.41e+19,12547,58928,27.02358,23.16517,24.91306,756,20.80898,0.8854297,0.7767331,483,QSO
1.41e+19,12531,58932,219.0837,208.1236,180.8271,1462,130.4985,0.6149544,0.6881756,71,STAR
1.41e+19,12547,58928,22.73414,29.17902,24.80784,1907,24.43332,0.5658394,0.8650647,184,QSO
1.41e+19,12545,58930,89.68112,87.73647,80.83285,756,64.87581,0.8146452,0.9287154,495,STAR
1.41e+19,12545,58930,112.249,113.281,103.7875,1239,79.94181,0.7137624,0.8207944,418,STAR
1.41e+19,12531,58932,300.2431,297.1805,271.9488,756,205.1538,0.6282848,0.6568352,451,STAR
1.41e+19,12525,58932,45.50772,60.12174,77.593,756,98.93616,0.5433407,0.6468537,528,STAR
1.41e+19,12527,58930,22.71019,22.55058,20.73511,1897,16.77366,0.7121529,0.6372326,475,QSO
1.41e+19,12527,58930,151.8952,128.1133,91.59949,1897,52.54129,0.9689118,0.8986096,539,GALAXY
1.41e+19,12527,58930,32.39441,31.6749,31.3387,756,26.09286,0.7886589,0.6758527,205,QSO
1.41e+19,12525,58932,18.96743,18.47694,18.4932,1239,13.67683,0.6894619,0.7406132,438,GALAXY
1.41e+19,12533,58931,218.9536,215.9063,195.037,1239,150.1768,0.655828,0.7889056,75,STAR
1.41e+19,12547,58928,188.6521,176.0932,116.6784,2126,59.32193,1.556515,1.319189,529,QSO
1.41e+19,12544,58928,237.1774,226.5828,204.7859,2126,154.1175,0.6742163,0.7892749,526,STAR
1.41e+19,12531,58932,418.8719,402.4349,349.2226,1907,248.66,0.7066156,0.7835506,65,STAR
1.41e+19,12525,58932,58.30383,41.46998,35.50497,1239,28.62633,0.8432617,0.9361043,334,QSO
1.41e+19,12544,58928,25.76408,21.2713,21.76436,1462,20.2008,0.6711455,0.7951683,42,QSO
1.41e+19,12527,58930,49.72801,45.34141,47.76669,1897,44.86082,0.5993033,0.701745,561,QSO
1.41e+19,12527,58930,187.6461,200.8598,236.5907,1897,128.67,1.872014,3.105083,558,GALAXY
1.41e+19,12531,58932,90.34074,85.41952,60.47562,2126,57.96209,0.8236477,0.9799949,973,QSO
1.41e+19,12547,58928,69.96975,65.18858,60.02524,756,45.06279,0.7440681,0.8298939,482,STAR
1.41e+19,12544,58928,89.48871,89.16521,83.34772,756,67.30911,0.8054277,0.8332571,46,STAR
1.41e+19,12527,58930,1335.411,1277.517,899.3359,1462,472.1244,4.856308,3.995612,12,GALAXY
1.41e+19,12527,58930,235.2905,230.916,205.5286,756,152.9886,0.5697467,0.7173052,86,STAR
1.41e+19,12545,58930,121.362,72.29046,64.2063,1241,47.87069,0.8875113,0.7617516,284,QSO
1.41e+19,12545,58930,91.85506,91.22084,80.56081,1241,59.16501,0.5911819,0.6751978,207,STAR
1.41e+19,12545,58930,129.9898,108.4774,87.41749,1239,56.20189,2.526127,2.29919,20,GALAXY
1.41e+19,12525,58932,67.60134,67.51602,60.57621,756,46.32225,0.6082779,0.6529925,864,STAR
1.41e+19,12525,58932,235.5712,232.4201,201.6387,1239,122.9507,0.7214485,0.8149927,355,STAR
1.41e+19,12525,58932,254.7339,257.7827,238.3939,1239,182.5442,0.7375938,0.8207842,357,STAR
1.41e+19,12525,58932,80.27077,77.61292,69.21394,756,53.48742,0.6454139,0.6964187,467,STAR
1.41e+19,12525,58932,97.23122,98.62508,87.99346,756,65.52586,0.6210996,0.7291312,36,STAR
1.41e+19,12547,58928,25.62052,26.77172,25.20371,1462,22.05389,0.7072437,0.817623,166,QSO
1.41e+19,12527,58930,78.88757,73.80334,68.84746,2125,52.17043,0.7848231,0.9096645,954,STAR
1.41e+19,12545,58930,77.54739,75.15614,69.75663,1239,55.84203,0.5945902,0.7035935,974,STAR
1.41e+19,12545,58930,30.42816,30.57703,26.46973,1239,23.4582,0.622871,0.7481658,996,QSO
1.41e+19,12525,58932,48.46077,29.12278,23.03638,756,15.663,0.7969946,0.6458749,942,QSO
1.41e+19,12525,58932,76.64936,58.75848,51.38752,1239,47.27596,0.7506971,0.747701,24,QSO
1.41e+19,12544,58928,210.8005,204.2056,184.4623,1907,136.3331,0.7299429,0.9526191,498,STAR
1.41e+19,12531,58932,23.83299,19.66498,15.85776,1907,14.84864,0.6749898,0.7609797,400,QSO
1.41e+19,12544,58928,38.13165,39.02345,39.60698,2125,37.61904,0.6510387,0.8665707,762,QSO
1.41e+19,12525,58932,129.114,123.9279,110.6208,1239,82.02096,0.6113544,0.6959621,978,STAR
1.41e+19,12527,58930,39.6527,43.10275,33.89511,1907,33.77106,0.775341,0.818161,510,QSO
1.41e+19,12545,58930,16.2267,15.61927,17.15131,756,14.63092,0.8134089,1.050983,317,QSO
1.41e+19,12533,58931,78.15527,76.6925,68.15275,1239,50.81931,0.6039204,0.678173,657,STAR
1.41e+19,12545,58930,170.5421,171.898,155.0919,756,121.5024,0.7311431,0.8578074,998,STAR
1.41e+19,12545,58930,105.239,102.1,110.503,1462,92.39152,0.6434228,0.8149265,674,STAR
1.41e+19,12545,58930,143.3969,134.5944,117.485,1462,74.53498,0.6400715,0.8786657,903,STAR
1.41e+19,12527,58930,251.3378,223.7157,177.4609,756,99.14811,0.5633505,0.6037322,404,STAR
1.41e+19,12545,58930,495.2795,369.8275,240.4454,1239,110.3652,1.629995,2.462685,831,GALAXY
1.41e+19,12545,58930,66.20419,50.36733,40.3289,756,25.51941,0.9376723,1.040316,611,QSO
1.41e+19,12525,58932,25.26099,30.00676,27.14109,1239,22.05698,0.6152912,0.7609236,39,QSO
1.41e+19,12544,58928,82.89979,81.04115,74.7961,756,57.19036,0.6358473,0.7067978,442,STAR
1.41e+19,12527,58930,42.29167,33.58714,28.96204,1897,23.4139,0.5467715,0.6677635,302,QSO
1.41e+19,12545,58930,71.50136,69.45963,62.75402,1239,48.91201,0.6727128,0.7669371,98,STAR
1.41e+19,12545,58930,177.7497,175.9072,158.1179,1239,124.7317,0.7130561,0.8176745,331,STAR
1.41e+19,12525,58932,97.67673,97.43616,88.93575,1239,69.43631,0.7035786,0.9534345,206,STAR
1.41e+19,12545,58930,17.69532,21.06269,17.41217,1239,18.25871,0.6380926,0.8805668,351,QSO
1.41e+19,12527,58930,34.09267,27.3111,25.65449,1239,20.96824,0.9668331,0.7698587,121,QSO
1.41e+19,12527,58930,19.28231,15.10706,15.83809,1239,13.78532,1.112135,0.7725325,95,QSO
1.41e+19,12527,58930,210.3247,209.0498,121.9638,1239,60.84627,1.437941,1.329842,91,GALAXY
1.41e+19,12525,58932,16.11471,18.29567,23.1195,756,26.6274,0.6612645,0.7353671,336,STAR
1.41e+19,12527,58930,74.38883,72.48546,64.43887,1239,49.82962,0.7921038,0.6729125,47,STAR
1.41e+19,12527,58930,13.82168,15.72017,18.93101,1239,22.35774,0.7315871,0.7843376,244,STAR
1.41e+19,12545,58930,162.7231,158.3008,139.1863,1239,98.70239,0.6235532,0.7527306,500,STAR
1.41e+19,12545,58930,2446.29,1817.337,1199.333,1239,522.8173,4.437763,5.791967,578,GALAXY
1.41e+19,12545,58930,32.70197,31.03355,26.87024,1239,25.51695,0.6764643,0.768954,320,QSO
1.41e+19,12531,58932,26.48599,3.53e-05,2.5e-05,2126,18.57939,1.227849,0.8855551,866,QSO
1.41e+19,12533,58931,75.0807,70.48813,63.2332,756,49.02923,0.6191936,0.6414057,761,STAR
1.41e+19,12527,58930,31.6138,38.10843,37.04763,2125,32.78328,0.7140511,0.8510597,905,QSO
1.41e+19,12544,58928,48.04718,35.77673,35.68171,1462,31.87882,0.671904,0.727277,533,QSO
1.41e+19,12531,58932,26.916,27.00284,26.29387,1462,19.80427,0.5656493,0.7325402,110,QSO
1.41e+19,12544,58928,183.144,179.5308,159.9948,2126,124.4529,0.6741331,0.7841814,542,STAR
1.41e+19,12544,58928,23.80243,25.71294,15.97404,2126,14.08171,0.6502327,0.8627885,622,QSO
1.41e+19,12533,58931,61.75319,55.33466,39.69048,1239,23.97681,0.8604316,0.7956743,972,QSO
1.41e+19,12531,58932,97.61108,90.93674,84.92535,1907,65.00079,0.6443675,0.7658101,1000,STAR
1.41e+19,12545,58930,142.6028,100.2008,91.38181,1241,63.69203,0.6407768,0.6990508,205,QSO
1.41e+19,12545,58930,372.1441,291.8121,198.8091,1241,96.84428,1.710175,1.355792,214,QSO
1.41e+19,12547,58928,72.21236,71.33671,63.15863,1462,47.49895,0.6100793,0.8119497,50,STAR
1.41e+19,12525,58932,168.1601,147.769,93.95923,1239,41.91135,1.573824,0.8772659,651,QSO
1.41e+19,12525,58932,29.57747,27.98868,22.84719,1239,21.14734,0.6797723,0.7875455,657,QSO
1.41e+19,12531,58932,118.4818,141.4774,111.2638,1907,63.98387,0.7575361,0.840471,558,STAR
1.41e+19,12531,58932,71.87548,67.46282,62.31918,1907,45.54612,0.6917812,0.7818339,552,STAR
1.41e+19,12527,58930,389.9559,374.6603,336.1779,1907,232.2587,0.7129928,0.7623006,978,STAR
1.41e+19,12525,58932,269.8132,263.3961,242.4146,1239,187.0482,0.6736436,0.777128,656,STAR
1.41e+19,12545,58930,39.29619,34.41777,29.4453,756,30.82016,0.8710502,0.9671174,837,QSO
1.41e+19,12527,58930,59.96697,46.64806,38.51992,1907,25.93079,1.036147,1.106488,130,QSO
1.41e+19,12527,58930,121.1916,130.1621,117.8292,1907,89.41735,0.7974097,0.8050244,96,STAR
1.41e+19,12527,58930,1779.05,1421.683,1069.362,1907,618.985,2.207831,2.43851,260,GALAXY
1.41e+19,12527,58930,81.46156,73.20477,65.84577,1239,50.41975,0.7831154,0.7059346,45,STAR
1.41e+19,12527,58930,97.19328,93.06344,85.78352,1239,81.26553,0.7884219,0.698265,52,QSO
1.41e+19,12544,58928,26.85318,29.92885,26.8792,756,26.65899,0.6498388,0.8952228,161,QSO
1.41e+19,12547,58928,177.489,166.3698,148.2936,1462,103.1955,0.6394626,0.7375742,146,STAR
1.41e+19,12547,58928,15.29476,20.43667,25.67741,1462,29.95958,0.5781506,0.7541596,76,QSO
1.41e+19,12533,58931,27.67067,24.32958,18.44088,1239,17.40043,0.6514317,0.6821023,741,QSO
1.41e+19,12533,58931,78.38902,76.62233,69.73859,1239,52.96667,0.6387939,0.7021909,772,STAR
1.41e+19,12527,58930,75.52335,73.25533,67.95285,2125,50.7905,0.7088625,0.8781013,964,STAR
1.41e+19,12527,58930,24.42419,28.2872,22.86889,1907,21.2039,0.6703044,0.8339778,292,QSO
1.41e+19,12545,58930,137.3982,130.2508,101.1782,756,65.21268,1.620894,1.587042,4,GALAXY
1.41e+19,12544,58928,21.06416,20.12044,19.66287,2126,16.89787,0.7514117,0.7521178,565,QSO
1.41e+19,12545,58930,99.56895,95.89627,85.34712,1241,64.28174,0.5974428,0.7090954,401,STAR
1.41e+19,12527,58930,180.2264,170.2463,146.785,756,102.7292,0.5555363,0.6803966,287,STAR
1.41e+19,12527,58930,69.57552,68.90519,61.08382,1897,46.17148,0.5398984,0.7018384,373,STAR
1.41e+19,12527,58930,135.6667,132.0639,117.5202,1897,86.28553,0.5498194,0.6197107,253,STAR
1.41e+19,12533,58931,700.2697,615.4217,389.7369,1239,212.0233,2.474085,2.187866,684,QSO
1.41e+19,12545,58930,630.4023,470.7378,306.2429,756,129.9194,1.962241,2.438854,507,GALAXY
1.41e+19,12545,58930,31.65411,25.01995,28.16205,756,22.40578,0.7864535,0.8385318,525,QSO
1.41e+19,12545,58930,53.37326,39.9729,39.48628,756,38.51151,0.8109573,0.9437121,718,QSO
1.41e+19,12545,58930,101.4514,84.99428,91.18328,756,86.09485,0.8601378,0.9872782,715,QSO
1.41e+19,12525,58932,67.77505,67.17659,62.5071,1239,45.8624,0.6548579,0.8263549,695,STAR
1.41e+19,12533,58931,81.97533,73.11439,50.6136,1239,26.88866,1.034801,0.9209784,440,GALAXY
1.41e+19,12533,58931,82.25992,65.0834,45.17287,1239,22.87289,1.085238,0.8495594,639,QSO
1.41e+19,12525,58932,49.27647,30.21444,27.89512,1239,19.77457,0.6796243,0.7223607,519,QSO
1.41e+19,12545,58930,292.6651,264.9354,187.1653,756,115.2119,1.579475,1.771527,346,GALAXY
1.41e+19,12533,58931,20.51399,21.37291,17.96003,1239,17.95196,0.5572856,0.7390808,830,QSO
1.41e+19,12533,58931,22.98325,24.71147,22.49272,2188,18.93461,0.8328693,0.9892049,48,QSO
1.41e+19,12525,58932,114.382,92.75861,68.32962,2188,43.38253,1.421107,1.170015,308,QSO
1.41e+19,12545,58930,384.1364,383.0671,335.3372,2188,238.4522,0.8617731,1.005737,493,STAR
1.41e+19,12545,58930,112.3543,104.3259,94.37254,2188,74.03521,0.8746504,1.149727,127,STAR
1.41e+19,12527,58930,35.02108,34.16905,27.92545,1907,23.46597,0.7413024,0.9329103,870,QSO
1.41e+19,12527,58930,23.04238,23.83802,21.30024,1907,16.80582,0.6308691,0.9017997,845,QSO
1.41e+19,12527,58930,115.3593,89.9422,63.96614,2125,45.11079,0.7212044,0.8630846,972,STAR
1.41e+19,12531,58932,29.21443,25.45611,21.14153,2125,20.26031,0.6162754,0.8866842,662,QSO
1.41e+19,12527,58930,24.73264,22.77745,19.56315,1239,19.88728,0.7939244,0.8386839,214,QSO
1.41e+19,12547,58928,172.0065,164.368,141.1348,2126,95.53133,0.7514175,0.8502764,948,STAR
1.41e+19,12545,58930,21.88618,25.89338,22.91613,756,21.76447,0.7184702,0.9277109,21,QSO
1.41e+19,12531,58932,29.23416,29.66121,27.81226,2125,26.4016,0.7006164,0.7642319,865,QSO
1.41e+19,12527,58930,71.75105,66.20242,70.73836,1907,62.52288,0.8033254,0.8465982,567,QSO
1.41e+19,12527,58930,20.0901,22.00938,22.87926,1907,20.24197,0.6981819,0.8468478,569,QSO
1.41e+19,12531,58932,100.0489,99.29337,88.59617,1462,65.31051,0.5772912,0.6853903,18,STAR
1.41e+19,12527,58930,65.21829,34.66092,28.08931,2125,21.20515,1.082269,0.9087653,939,QSO
1.41e+19,12527,58930,24.31952,24.58529,21.18456,2125,19.67551,0.7296063,0.8577108,918,QSO
1.41e+19,12533,58931,149.914,151.3816,137.9378,1239,109.0321,0.5974598,0.69159,590,STAR
1.41e+19,12533,58931,25.30802,25.26016,24.33369,1239,20.46083,0.645774,0.6707714,625,QSO
1.41e+19,12533,58931,291.5316,232.3914,195.9005,1239,148.242,0.5799938,0.6760591,661,QSO
1.41e+19,12545,58930,30.96754,30.71801,25.58968,1241,23.60973,0.6439852,0.6898737,256,QSO
1.41e+19,12525,58932,59.67666,56.30591,52.20261,756,38.63118,0.5648589,0.7591646,769,STAR
1.41e+19,12525,58932,257.5272,255.2986,230.1486,756,179.9328,0.5472638,0.6684834,965,STAR
1.41e+19,12525,58932,32.46994,27.66668,22.94633,756,21.9329,0.6255883,0.6710497,972,QSO
1.41e+19,12525,58932,35.35491,32.0393,33.31933,756,26.93227,0.5184249,0.7529025,980,QSO
1.41e+19,12525,58932,78.83081,77.50034,71.92053,756,56.70724,0.566753,0.6783133,529,STAR
1.41e+19,12531,58932,196.4322,190.8372,168.1241,2126,123.1306,0.791215,0.9743831,634,STAR
1.41e+19,12544,58928,150.2911,152.7375,139.7229,756,105.1772,0.6977164,0.8048244,131,STAR
1.41e+19,12533,58931,415.2321,315.0594,217.3542,756,98.51875,0.9725311,1.219645,653,GALAXY
1.41e+19,12533,58931,33.2966,29.40033,23.53541,756,22.64495,0.6310581,0.6723899,671,QSO
1.41e+19,12533,58931,33.02573,34.96182,27.18945,756,20.94644,0.4869102,0.6801448,778,QSO
1.41e+19,12545,58930,31.68105,29.66151,27.00558,756,20.27063,0.9286447,1.03274,268,QSO
1.41e+19,12531,58932,58.69547,43.23007,35.26019,1462,32.96917,1.241718,0.8294153,109,QSO
1.41e+19,12531,58932,27.90651,25.36122,26.9057,2126,23.31342,0.9211764,1.154251,503,QSO
1.41e+19,12545,58930,86.88181,82.67606,74.61144,1239,56.30238,0.6585027,0.6857787,952,STAR
1.41e+19,12544,58928,82.33001,83.29491,75.75304,2125,57.87882,0.6336071,0.8037617,660,STAR
1.41e+19,12545,58930,93.58905,88.50247,78.36111,756,55.23499,0.7522192,0.8903748,494,STAR
1.41e+19,12531,58932,102.7222,90.14448,85.1836,1907,81.52309,0.5851767,0.7832836,144,QSO
1.41e+19,12527,58930,1114.669,863.4615,575.8638,1239,239.3784,2.442218,2.844476,57,GALAXY
1.41e+19,12525,58932,18.33982,18.67011,19.51178,756,17.82911,0.695187,0.7327758,577,QSO
1.41e+19,12545,58930,30.68587,22.35475,22.94305,1239,19.84952,0.6802905,0.8094124,305,QSO
1.41e+19,12545,58930,41.48958,37.19968,41.16794,756,43.1772,0.8052937,0.9902722,49,STAR
1.41e+19,12527,58930,136.62,130.6726,119.4687,2125,92.60483,0.795057,0.8845059,663,STAR
1.41e+19,12527,58930,39.17239,37.20462,27.86944,1907,21.36423,0.7405748,0.8736572,472,QSO
1.41e+19,12531,58932,83.68282,86.09322,77.65995,1907,58.48511,0.5873511,0.8445632,148,STAR
1.41e+19,12527,58930,38.30507,32.68718,25.34089,1907,25.0051,0.7808126,0.7666517,987,QSO
1.41e+19,12531,58932,43.30259,44.38877,41.10846,1907,31.16773,0.8704641,0.8210018,535,QSO
1.41e+19,12527,58930,266.1466,252.4792,222.4379,1907,162.3274,0.6539615,0.8167158,3,STAR
1.41e+19,12525,58932,65.74694,85.25155,116.5955,756,175.8902,0.5704455,0.7153337,733,STAR
1.41e+19,12545,58930,22.17041,18.89311,17.26198,756,15.63777,0.8804882,0.823527,601,QSO
1.41e+19,12545,58930,13.98693,21.02169,20.6943,756,16.65132,0.6327637,0.943466,648,QSO
1.41e+19,12531,58932,77.4649,74.80984,65.65483,1907,45.76537,0.8245136,0.812184,720,STAR
1.41e+19,12531,58932,95.56261,82.47352,64.37036,1907,34.12854,0.7484369,0.8809215,758,STAR
1.41e+19,12531,58932,11.37486,13.19726,17.11558,1907,20.02231,0.6844302,0.6986955,847,STAR
1.41e+19,12525,58932,84.27663,71.60253,69.96587,756,62.91482,0.6693819,0.7559528,405,QSO
1.41e+19,12545,58930,51.25569,56.62051,57.45294,756,49.98729,0.6750178,0.982498,911,QSO
1.41e+19,12547,58928,142.9009,136.7486,124.0319,1239,92.17966,0.7247441,0.6832805,124,STAR
1.41e+19,12547,58928,202.7781,195.8255,174.6617,1239,126.0865,0.7104203,0.7340025,162,STAR
1.41e+19,12545,58930,91.31941,97.74017,92.55335,1239,69.6179,0.6904064,0.7351631,825,QSO
1.41e+19,12545,58930,24.62877,27.54015,22.83181,1239,23.30127,0.7014005,0.7542095,787,QSO
1.41e+19,12531,58932,71.46933,99.08047,55.41898,2126,57.67479,1.109546,1.131297,592,GALAXY
1.41e+19,12527,58930,165.9116,157.3819,140.8957,1907,101.7542,0.760184,0.8183199,265,STAR
1.41e+19,12527,58930,69.88595,69.70531,53.07544,1907,48.01128,0.7284267,0.8368148,232,GALAXY
1.41e+19,12527,58930,70.6603,63.82892,52.86552,1907,61.09573,0.86554,0.8141288,39,QSO
1.41e+19,12544,58928,35.04906,39.23089,35.7854,2125,27.01954,0.61277,0.7756765,605,QSO
1.41e+19,12527,58930,24.74462,23.70193,23.27115,1907,13.86498,0.7616819,0.8472466,481,QSO
1.41e+19,12527,58930,56.8284,74.85928,102.2491,1907,151.3479,0.7511572,0.8213406,462,STAR
1.41e+19,12544,58928,195.629,198.2884,180.5246,1907,133.4218,0.8472333,0.8720132,532,STAR
1.41e+19,12531,58932,72.0045,74.27705,68.03609,1907,51.99504,0.6106948,0.7997027,997,STAR
1.41e+19,12545,58930,225.6503,219.3428,200.063,1239,161.3402,0.6099491,0.7527054,700,STAR
1.41e+19,12525,58932,112.8042,145.617,195.6254,756,294.7654,0.6229492,0.6553952,666,STAR
1.41e+19,12527,58930,26.06235,27.00387,24.68829,2125,23.73729,0.929093,0.8567123,676,QSO
1.41e+19,12527,58930,76.57722,69.64373,61.97002,2125,44.5916,0.7683084,0.9148009,668,STAR
1.41e+19,12525,58932,38.41952,25.97795,23.04532,1239,26.86602,0.711058,0.733121,921,QSO
1.41e+19,12545,58930,163.7053,164.404,145.6707,1239,106.5187,0.7642519,0.7687469,552,STAR
1.41e+19,12545,58930,131.4222,127.2934,114.0588,1239,83.44477,0.7713464,0.7283915,549,STAR
1.41e+19,12547,58928,95.33092,83.57807,78.45737,1907,57.64249,0.7491995,0.7641662,14,STAR
1.41e+19,12545,58930,57.65696,51.95807,45.7985,1239,41.05604,0.788487,0.8094082,136,GALAXY
1.41e+19,12527,58930,57.96954,62.98708,60.14482,1907,52.242,0.7663696,0.8249919,507,QSO
1.41e+19,12527,58930,47.15363,41.84439,33.75641,1907,29.27623,0.8096948,0.8620323,601,QSO
1.41e+19,12527,58930,52.82057,47.15257,52.52674,1907,48.49972,0.7590424,0.8353627,655,QSO
1.41e+19,12527,58930,31.2455,26.92534,20.56614,1907,20.40399,1.058937,0.864795,646,QSO
1.41e+19,12527,58930,36.63074,34.62476,26.41445,2125,24.87859,0.7724888,0.8846516,946,QSO
1.41e+19,12527,58930,126.4285,118.3157,108.7016,2126,83.42315,0.8013023,0.9888692,632,STAR
1.41e+19,12527,58930,68.35267,61.05574,54.09618,2126,48.32627,0.7391772,0.9575077,629,QSO
1.41e+19,12527,58930,408.7745,194.8058,73.14077,2126,47.7832,0.7117128,0.9221256,874,STAR
1.41e+19,12527,58930,1373.696,1013.401,677.1124,2126,299.831,2.804705,3.403065,915,GALAXY
1.41e+19,12531,58932,78.12309,75.72133,68.77641,756,52.32765,0.5356612,0.6831006,168,STAR
1.41e+19,12533,58931,86.10629,79.3307,69.11104,756,51.68631,0.6183316,0.6837152,643,STAR
1.41e+19,12527,58930,45.96813,35.21308,31.89128,1897,24.61672,0.5953133,0.6858026,493,QSO
1.41e+19,12545,58930,30.31895,28.62507,31.57032,1239,27.48363,0.7269933,0.8086523,551,QSO
1.41e+19,12545,58930,24.38202,21.19754,16.10787,1239,14.93001,0.8310935,0.7503737,555,QSO
1.41e+19,12525,58932,16.79514,19.31121,12.7664,756,14.62694,0.5211701,0.6895136,914,QSO
1.41e+19,12544,58928,23.79866,24.81865,20.65916,2126,19.73084,0.6902686,0.7764958,664,QSO
1.41e+19,12547,58928,105.6463,102.8919,91.00386,2126,63.98501,0.6747832,0.8845546,516,STAR
1.41e+19,12544,58928,222.6494,198.3355,144.1659,2126,84.60554,1.880394,1.283931,948,QSO
1.31e+19,11654,58543,170.2878,163.4182,146.8291,1345,111.0725,0.5597,0.6450108,96,STAR
1.31e+19,11654,58543,81.92593,75.2588,64.41982,1345,43.51033,0.6067457,0.6787236,86,STAR
1.25e+19,11068,58488,302.7124,289.4349,257.5518,1035,186.8039,0.5996863,0.7283015,231,STAR
1.25e+19,11060,58523,126.5214,116.2519,100.1088,1904,68.45745,0.5993504,0.800262,368,STAR
1.25e+19,11060,58523,197.9839,186.7569,158.7083,1904,108.1175,0.6243955,0.7767749,182,STAR
1.25e+19,11060,58523,231.374,226.9592,202.0031,1904,151.4642,0.6234646,0.7684929,220,STAR
1.25e+19,11068,58488,97.80398,96.05701,85.42995,1904,63.91398,0.6242918,0.6710258,589,STAR
1.25e+19,11078,58437,215.665,203.0274,175.8813,1035,126.4217,0.737474,0.8140419,39,STAR
1.25e+19,11078,58437,150.7189,142.2462,121.8271,1035,82.806,0.7645102,0.8027379,897,STAR
1.25e+19,11086,58401,347.7393,336.0649,294.1979,2131,215.8912,0.647237,0.7021936,632,STAR
1.25e+19,11078,58437,89.66709,84.90093,77.72195,1035,62.20328,0.7421577,0.8239303,528,STAR
