phone_id,battery_power,clock_speed,m_dep,mobile_wt,n_cores,ram,talk_time,price_range,sc_h,sc_w,blue,dual_sim,four_g,touch_screen,wifi,int_memory,total_camera,total_pixels,has_front_camera,has_primary_camera
25,-1.46326085760671,0.9,0.1,121,3,1.5017523164325333,18,3,10,2.0,0,1,1,1,0,-0.49762511019497674,24,357210,1,1
26,-0.244359874581798,0.5,0.6,101,5,-0.26756775564531005,16,1,19,13.0,1,1,0,1,0,0.935515432892074,29,577724,1,1
27,-1.26541685476498,0.5,1.0,121,4,0.19575967063694208,18,1,11,1.0,1,0,0,1,1,-0.7181082706699076,15,959728,1,1
28,-1.0607506449287074,1.1,0.8,81,7,0.6406278369079491,3,3,17,15.0,0,1,0,1,0,0.3843075317047468,26,2436156,1,1
29,1.070052006366708,2.1,1.0,156,2,1.0688826691688356,15,3,17,1.0,1,0,0,0,0,-1.048833011382304,3,1348990,1,1
30,1.6158285659301015,2.6,0.3,199,4,-0.6385988818713366,20,1,11,5.0,0,1,0,0,1,0.8252738526546085,11,334554,1,1
31,0.8267266235613617,2.8,0.7,114,3,-1.0040922300939896,20,0,8,7.0,1,1,1,0,0,0.3291867415860141,24,367208,1,1
32,-1.6724752054393444,1.2,0.4,111,3,0.42280856877525685,12,1,11,6.330049261083744,0,1,1,0,0,-1.3244369619759675,18,250245,1,1
33,-0.630951604272535,1.4,0.6,114,8,0.6064782058871456,7,2,18,9.0,1,1,1,1,1,1.3764817538419358,3,417294,0,1
34,-1.6360901014684515,1.6,0.3,132,4,1.511904909438718,4,3,16,1.0,1,1,1,0,1,1.0457570131295395,26,354750,1,1
35,-0.6423219492634391,0.5,1.0,143,7,1.0716515581705224,12,3,17,8.0,0,0,1,1,0,0.49454911194221224,7,549325,1,1
36,0.4878903428324216,1.6,0.3,96,2,0.22898633865718326,10,2,10,1.0,0,1,1,1,1,1.1008778032482722,30,245157,1,1
37,-0.8810991940724238,0.5,0.4,200,5,-1.5200285474082904,10,0,12,7.0,0,0,0,0,1,-0.6078666904324421,10,1478973,1,1
38,0.7744230366032032,0.5,0.2,88,7,1.2987004563088371,12,3,17,11.0,1,1,0,0,1,-1.4897993323321657,9,2361562,0,1
39,0.7494082776232144,0.5,1.0,150,8,-1.4923396573914227,6,0,5,1.0,1,0,0,1,1,0.05358279099235046,36,270102,1,1
40,0.18316509707619358,0.9,0.9,107,1,0.094233740575094,3,1,18,5.0,1,0,1,1,1,0.49454911194221224,21,97920,1,1
41,0.16269847609256632,2.2,0.6,100,4,1.587587875484823,12,3,7,6.330049261083744,1,1,1,1,0,1.0457570131295395,0,341582,0,0
42,-1.3518314766958506,2.7,0.7,157,8,-0.7964255549674824,15,0,12,1.0,1,0,0,0,0,-0.5527459003137094,3,273991,0,1
43,-1.1676318878432053,1.3,0.4,160,8,-0.737355922931498,15,1,10,4.0,0,1,0,0,0,1.5418441241981338,33,1416366,1,1
44,-1.476905271595795,2.3,0.6,160,4,-0.010984041489003095,2,1,13,7.0,1,1,0,0,1,1.5969649143168665,11,349635,1,1
45,1.106437110337601,1.6,0.5,119,2,1.2036352672509247,4,3,6,5.0,1,1,1,1,0,-1.434678542213433,24,795963,1,1
46,-1.0198174029614528,2.0,0.3,87,6,0.9636648871047384,2,2,6,1.0,0,1,1,0,1,-1.1590745916197693,33,253310,1,1
47,-1.5428532725430384,0.5,0.3,159,2,0.023165589531800347,11,2,18,12.0,0,1,0,1,0,0.9906362230108067,35,2335624,1,1
48,0.24683902902525617,2.9,0.6,132,1,0.3314352317195936,11,2,18,2.0,0,0,0,0,1,0.6599114822984103,19,419678,1,1
49,0.9267856594813172,2.3,0.2,185,2,1.1205685972003219,19,3,18,10.0,1,0,1,1,0,0.49454911194221224,18,3332700,1,1
50,0.03307654319626037,0.5,0.2,152,2,-0.22788034662113307,4,1,15,6.330049261083744,1,1,1,1,0,-1.4897993323321657,24,489090,1,1
51,0.9495263494631253,1.0,0.1,166,3,-0.4576981337611346,14,1,15,12.0,0,0,1,1,0,0.10870358111108318,12,1281280,1,1
52,-0.09881945869822639,2.8,0.8,110,2,-1.4960315093936718,12,0,9,3.0,1,0,1,1,0,-0.6629874805511748,15,2610160,1,1
53,0.6266085517214508,2.9,0.2,118,3,-0.8979514850293304,20,1,8,3.0,0,0,0,1,1,-0.27714194972004585,1,336660,0,1
54,1.1018889723412393,1.1,1.0,164,8,1.3494634213397612,3,3,10,5.0,1,1,0,0,0,0.5496699020609449,15,361782,1,1
55,-0.41946318744172006,1.8,0.8,196,7,0.15791818761388962,12,1,16,12.0,1,1,1,0,1,0.4394283218234795,13,20898,1,1
56,-1.5019200305757838,2.6,0.2,162,8,-0.7890418509629843,5,0,15,3.0,1,1,1,0,1,1.3764817538419358,10,1468825,1,1
57,-1.4609867886085293,2.1,0.8,111,8,1.027349334143534,10,3,16,13.0,0,1,0,0,0,1.7623272846730647,24,1640790,1,1
58,0.7016528286614174,3.0,0.7,198,3,-0.06082404351936488,15,2,5,6.330049261083744,1,1,1,0,1,-0.9937122212635712,21,1908944,1,1
59,1.1860295252739292,1.4,0.8,127,8,-0.06636182152273841,16,2,19,12.0,0,1,0,1,0,1.707206494554332,24,1911306,1,1
60,0.9449782114667638,1.5,0.3,109,2,0.9110559960726898,10,3,12,5.0,1,1,1,1,0,0.6047906921796776,0,343434,0,0
61,0.49698661882514483,1.9,0.3,102,3,-0.6321381408674008,12,1,17,8.0,0,1,1,0,1,-0.8834706410261057,11,1303731,1,1
62,-0.3762558764762848,0.5,0.5,145,7,0.7227715439579898,18,2,6,6.330049261083744,1,1,0,1,0,1.0457570131295395,0,554760,0,0
63,1.586265668953751,2.1,0.6,104,3,0.39419671575782694,13,2,14,7.0,0,1,1,0,0,0.7701530625358758,30,691012,1,1
64,-0.9447731260214863,2.7,0.5,148,8,-1.1259233461682074,17,0,14,11.0,1,1,0,1,1,1.5418441241981338,32,1191078,1,1
65,-0.5718258103198341,1.3,0.4,107,3,1.6964975095511692,20,3,9,4.0,0,1,1,0,1,1.5969649143168665,9,476420,0,1
66,1.1792073182793867,0.5,0.5,180,6,-0.06359293252105164,4,1,7,5.0,0,0,0,0,0,0.935515432892074,22,188945,1,1
67,-0.39899656645809284,1.4,1.0,128,5,0.7246174699591144,9,2,15,13.0,0,1,1,1,1,0.8803946427733412,6,86741,1,1
68,0.5583864817760267,3.0,0.6,134,3,-0.6164477698578426,20,1,14,4.0,0,0,0,1,0,-1.1039538015010366,8,887604,1,1
69,-0.9993507819778257,2.3,0.8,144,8,-1.5634078084347165,6,0,15,6.0,1,0,1,1,1,1.707206494554332,7,351975,1,1
70,-0.18750814962727785,1.2,0.8,159,2,-1.5274122514127884,15,0,7,6.330049261083744,1,1,1,1,0,0.9906362230108067,0,176134,0,0
71,1.095066765346697,2.0,0.5,168,2,0.02131966353067584,5,2,14,2.0,0,0,1,1,1,1.2662401736044704,33,1018809,1,1
72,-1.219935474801364,2.6,0.7,141,3,0.7661508049844158,19,2,10,4.0,0,1,1,0,0,-1.2693161718572348,5,791280,1,1
73,-1.4155054086449133,1.9,0.8,81,3,1.1454885982155028,13,3,18,8.0,0,1,1,1,0,0.6599114822984103,30,1053318,1,1
74,0.271853788005245,0.5,0.3,155,4,0.8704456240479507,4,3,9,4.0,1,0,1,1,0,0.2189451613485486,25,2907770,1,1
75,1.4270808390810947,1.4,0.5,182,3,1.5774352824786382,8,3,16,11.0,0,0,0,0,0,-0.11177957936384769,0,192348,0,0
76,0.0080617842162715,1.1,0.6,165,2,-0.9920937110866804,4,0,11,1.0,0,1,0,0,1,-1.214195381738502,1,562275,0,1
77,-0.16476745964546977,1.5,0.8,80,4,1.7241863995680367,7,3,7,1.0,0,1,1,1,0,0.6047906921796776,1,123615,0,1
78,0.4765199978415176,0.5,0.8,138,7,1.1565641542222498,2,3,13,11.0,1,1,1,1,1,0.7150322724171431,17,982680,1,1
79,0.38328316891610453,2.4,0.7,104,4,0.06193003555541507,13,2,9,7.0,1,0,1,0,1,-0.5527459003137094,5,1426324,1,1
80,-1.4405201676249022,1.0,0.1,142,3,-1.5994033654566444,4,0,15,6.0,0,0,1,0,0,-1.2693161718572348,24,164160,1,1
81,-0.45584829141261296,1.2,0.7,141,1,1.4620649074083563,12,3,11,6.330049261083744,0,0,0,1,1,0.6047906921796776,8,2552,1,1
82,-1.0038989199741872,2.9,0.5,90,4,-1.4166566913453178,6,0,9,2.0,1,1,0,1,0,0.3291867415860141,10,1078119,1,1
83,-0.9538694020142096,0.6,0.9,188,6,-0.2869499786571174,13,1,5,4.0,0,1,1,0,1,0.5496699020609449,28,421038,1,1
84,-0.2830190475508717,2.8,0.4,197,3,-1.124077420167083,17,0,10,7.0,0,0,1,1,0,-1.2693161718572348,19,1113840,1,1
85,-0.01013076776917495,1.6,0.6,172,1,-0.6238314738623406,6,0,11,7.0,1,1,0,0,1,0.05358279099235046,4,129148,1,1
86,-0.08972318270550317,2.5,0.2,116,4,1.2211715642616077,10,3,17,13.0,1,1,1,0,1,-0.8834706410261057,35,1812736,1,1
87,-0.3080338065308606,1.0,0.7,111,6,-0.26572182964418556,16,1,8,7.0,0,1,0,1,1,-0.1669003694825804,14,1471140,1,1
88,0.7971637265850113,0.6,0.9,85,7,1.2359389722706038,6,3,19,10.0,1,1,1,1,1,1.4316025439606685,7,384714,0,1
89,-0.5445369823416645,2.9,0.2,199,4,0.4320381987808794,16,2,14,11.0,0,1,1,1,0,1.7623272846730647,30,2257552,1,1
90,0.6175122757287276,0.9,0.9,180,5,1.2543982322818488,11,3,9,6.0,1,1,0,1,1,0.7150322724171431,5,1240416,1,1
91,-0.5240703613580372,0.8,1.0,114,3,-0.10697219354747764,11,1,10,3.0,0,0,0,0,0,1.5969649143168665,26,1208394,1,1
92,-0.2534561505745212,2.9,0.8,163,1,-0.07097663652554968,17,1,11,5.0,1,1,1,1,1,1.3764817538419358,18,973472,1,1
93,0.3946535139070086,2.4,0.8,96,8,-1.1886848302064408,4,1,15,9.0,1,0,0,0,1,-0.3873835299575113,22,977304,1,1
94,0.5856753097541963,2.0,0.5,182,5,-1.1729944591968824,7,0,16,6.330049261083744,1,1,0,1,1,0.5496699020609449,9,71136,1,1
95,-0.3535151864944767,2.9,0.8,178,3,1.0015063701277909,4,3,13,3.0,1,1,1,0,0,1.7623272846730647,12,1145950,1,1
96,-1.2972538207395112,0.5,0.1,155,5,0.5732515378669044,8,2,9,5.0,0,1,0,1,1,-1.600040912569631,13,801198,0,1
97,0.16042440709438552,1.1,0.5,100,4,0.19299078163525532,11,2,10,1.0,0,1,0,0,1,0.05358279099235046,14,780914,0,1
98,1.1041630413394201,2.0,0.5,177,3,0.6433967259096358,16,3,19,3.0,0,1,1,1,0,1.3764817538419358,7,3088020,1,1
99,1.6795024978791642,2.0,1.0,171,7,-0.14204478756884334,14,2,18,7.0,1,1,1,1,0,1.2111193834857377,25,1522692,1,1
100,-0.8037808481342763,2.3,0.4,103,7,-0.6598270308842685,5,0,16,10.0,0,1,1,1,1,-0.9385914311448385,0,616738,0,0
101,-0.8174252621233612,2.5,0.7,83,6,-1.6390907744808214,2,0,16,10.0,1,0,1,0,1,-0.9937122212635712,26,445315,1,1
102,0.189987304070736,1.7,0.8,140,3,-0.6524433268797705,12,1,19,17.0,0,1,0,1,0,-1.3795577520947002,15,352230,1,1
103,-0.23071546059271317,1.0,1.0,196,3,1.3762293483560666,12,3,13,5.0,1,0,0,1,1,-1.3795577520947002,37,1110618,1,1
104,0.2650315810107026,2.3,0.2,132,5,-1.1489974211822638,8,0,19,4.0,0,0,1,1,0,-0.49762511019497674,26,580041,1,1
105,0.9699929704467526,0.5,0.2,194,6,-0.48354109777687776,14,2,18,17.0,1,0,1,0,0,1.5418441241981338,21,2647248,1,1
106,-1.3222685797195002,2.5,0.7,141,2,-0.657981104883144,18,0,14,3.0,0,0,0,1,0,0.27406595146728135,1,457436,0,1
107,-1.4678089956030718,0.5,0.4,156,7,-0.39955146472571257,7,1,6,2.0,0,0,0,0,0,-0.05665878924511498,13,1623861,1,1
108,1.4657400120501682,0.5,0.3,146,6,0.4384989397848152,20,3,16,8.0,1,0,1,0,0,-1.214195381738502,16,1453804,1,1
109,1.1223555933248666,1.1,0.8,119,8,-0.7539692569416185,11,1,16,7.0,1,0,1,0,1,-1.1039538015010366,13,725944,1,1
110,-1.5815124455121121,0.5,0.7,192,5,0.26590485867967345,15,1,17,14.0,0,0,0,0,0,1.3764817538419358,4,384744,0,1
111,1.5930878759482936,2.8,0.6,199,4,-0.9948626000883671,18,0,14,10.0,1,1,1,1,0,1.2662401736044704,10,166400,0,1
112,-1.558771755530304,2.4,0.5,121,7,-0.8499574090000931,8,0,11,4.0,0,1,1,1,1,-1.3244369619759675,4,293150,1,1
113,-0.924306505037859,0.7,0.7,103,4,-0.30079442366555126,11,1,5,2.0,0,1,1,0,1,0.3843075317047468,5,188000,1,1
114,0.9608966944540294,1.9,1.0,172,5,0.5086441278275466,11,3,12,6.0,0,1,0,1,1,-0.49762511019497674,15,1382364,1,1
115,0.9518004184613061,2.4,0.1,198,5,0.43573005078312843,14,3,18,1.0,1,0,0,0,0,0.5496699020609449,19,3178920,1,1
116,-0.23526359858907478,2.0,0.3,83,1,0.8344500670260226,9,3,19,17.0,1,1,0,1,1,0.7701530625358758,4,540878,0,1
117,1.2201405602466413,1.5,0.1,163,1,0.2012974486403156,14,3,19,13.0,1,0,0,1,1,0.49454911194221224,10,3052077,1,1
118,-1.0357358859487187,1.8,1.0,106,3,-0.10051145254354185,18,1,16,4.0,0,1,1,1,0,0.6047906921796776,4,1762258,0,1
119,-1.4132313396467324,2.3,0.5,199,7,0.08131225856722243,7,1,18,13.0,1,0,0,0,0,-0.001537999126382259,20,671232,0,1
120,-0.8447140901015309,1.4,0.7,135,6,-1.2320640912328669,3,0,13,6.0,0,1,1,1,0,-1.5449201224508984,1,138180,0,1
121,0.16269847609256632,1.1,1.0,194,5,0.9756634061120477,5,2,8,4.0,1,1,0,1,0,-1.3795577520947002,27,60021,1,1
122,1.2860885611938846,0.5,0.6,153,7,1.2433226762751017,20,3,9,1.0,0,0,1,0,1,-0.5527459003137094,28,1440552,1,1
123,1.504399185019242,2.3,0.2,89,7,0.6886219129371863,13,3,12,1.0,1,0,1,1,1,-0.7732290607886403,10,1752355,1,1
124,-0.749203192177937,1.4,0.3,82,8,0.9802782211148591,4,2,12,9.0,1,0,0,0,0,1.155998593367005,0,617855,0,0
125,-0.3512411174962959,2.6,0.9,107,3,-0.16604182558346198,10,1,15,4.0,1,0,1,1,0,0.4394283218234795,14,248262,1,1
126,0.1581503380962047,1.3,0.9,199,1,-1.510798917402668,9,0,5,3.0,0,1,0,1,0,0.7701530625358758,20,271975,1,1
127,1.2269627672411836,0.5,0.5,102,3,-0.8407277789944706,14,1,5,6.330049261083744,0,0,0,0,0,-0.9385914311448385,0,2823530,0,0
128,1.0518594543812616,1.6,0.3,194,8,0.4366530137836907,6,2,12,9.0,1,1,0,1,0,-1.214195381738502,10,735900,1,1
129,-1.0607506449287074,2.4,0.5,80,4,1.031041186145783,4,3,18,11.0,1,1,1,1,0,-1.214195381738502,3,2126304,1,1
130,-0.9402249880251248,0.5,0.9,130,3,1.3005463823099617,6,3,10,4.0,1,1,0,1,0,1.1008778032482722,17,515211,1,1
131,0.31960923696704197,1.1,0.8,200,2,1.200866378249238,17,3,5,4.0,0,0,1,1,1,0.2189451613485486,12,740288,1,1
132,-0.16476745964546977,2.0,0.8,198,5,0.33512708372184263,15,2,13,5.0,0,0,1,0,0,-0.3873835299575113,7,70977,1,1
133,0.9563485564576677,2.8,0.6,89,1,1.0430397051530924,9,3,19,14.0,0,0,0,0,1,-0.8834706410261057,25,738738,1,1
134,-0.9379509190269439,2.4,0.3,88,4,0.6812382089326884,18,2,9,3.0,1,1,1,0,1,1.4316025439606685,1,140694,0,1
135,0.7403120016304912,2.3,0.5,189,6,-0.5804522128359145,7,1,6,4.0,0,0,1,1,1,-0.3873835299575113,21,2473935,1,1
136,1.634021117915548,0.9,0.6,181,3,1.5469775034600837,7,3,12,6.330049261083744,0,1,0,0,1,-0.05665878924511498,27,685872,1,1
137,0.7562304846177568,1.4,0.1,100,6,-1.3465115033025865,13,0,12,10.0,0,0,1,1,0,-0.7181082706699076,1,996774,0,1
138,0.3992016519033702,2.0,0.8,99,7,1.5451315774589591,7,3,17,7.0,0,1,0,0,1,1.2111193834857377,5,217198,1,1
139,1.2542515952193534,2.5,0.1,184,1,-0.7004374029090078,20,1,7,6.330049261083744,0,1,0,1,1,-1.6551617026883638,23,492624,1,1
140,-1.34955740769767,0.5,1.0,197,7,0.7726115459883516,4,2,12,9.0,0,0,0,1,1,0.49454911194221224,11,189660,1,1
141,-1.2972538207395112,2.9,0.2,195,8,0.25298337667180193,7,1,10,5.0,0,1,0,1,1,-0.11177957936384769,19,551232,1,1
142,0.9404300734704021,1.1,0.7,89,4,0.19668263363750432,20,2,12,8.0,1,1,0,0,0,0.2189451613485486,6,395632,1,1
143,-0.057886216730971884,0.5,0.5,108,5,0.5307952398410407,9,2,12,3.0,1,0,0,0,1,-0.8834706410261057,0,282048,0,0
144,0.07628385416169568,2.5,0.9,133,6,0.10161744457959204,4,1,19,4.0,1,1,0,0,0,-0.5527459003137094,8,404745,0,1
145,-0.8469881590997117,0.5,0.5,179,8,1.569128615473578,2,3,12,11.0,0,1,1,1,1,0.7701530625358758,12,1166712,1,1
146,-1.5974309284993777,2.4,0.3,182,7,-1.699083369517368,4,0,12,9.0,0,1,1,1,0,-1.600040912569631,26,2133054,1,1
147,-1.6269938254757281,2.6,0.1,155,8,-0.6441366598747101,9,0,9,1.0,0,1,0,1,0,-0.9937122212635712,3,316768,1,1
148,1.1701110422866636,0.5,0.1,134,1,-0.7392018489326224,17,2,17,6.330049261083744,0,1,1,0,1,-0.05665878924511498,18,3062340,0,1
149,-0.046515871740067855,1.8,0.5,147,3,-1.5938655874532708,5,0,17,6.330049261083744,0,1,1,0,0,-0.9937122212635712,5,141064,1,1
150,0.6789121386796093,2.5,0.3,137,1,1.4399137953948622,17,3,18,17.0,1,0,1,1,1,0.6047906921796776,9,948909,1,1
151,-1.0289136789541762,2.2,0.5,141,7,0.2446767096667416,5,2,12,11.0,0,1,0,0,1,0.05358279099235046,6,860379,0,1
152,0.9995558674231031,2.1,0.9,134,3,-1.7046211475207413,10,0,19,6.330049261083744,0,0,1,1,0,1.7623272846730647,14,233696,1,1
153,1.3088292511756927,1.4,0.4,141,2,1.3208515683223312,16,3,18,12.0,0,1,1,0,0,-1.2693161718572348,3,594216,1,1
154,-0.3125819445272222,1.8,0.2,148,2,0.06562188755766409,19,1,12,6.0,0,0,0,1,1,-0.05665878924511498,7,491103,0,1
155,0.5060828948178681,2.4,0.5,141,7,1.5451315774589591,4,3,16,1.0,0,1,1,0,0,0.4394283218234795,7,1641970,1,1
156,-0.051064009736429467,3.0,0.4,199,3,0.13207522359814647,4,2,13,5.0,0,0,0,1,1,0.8252738526546085,11,3642884,1,1
157,-1.6656529984448019,1.6,0.8,159,1,0.7753804349900384,15,2,13,10.0,0,0,1,0,0,0.49454911194221224,13,896875,1,1
158,-0.8992917460578702,0.5,0.1,147,5,0.1994515226391911,20,1,10,1.0,1,0,1,1,1,1.321360963723203,18,112000,1,1
159,-1.1289727148741318,2.2,0.2,190,7,1.3217745313228935,12,3,16,11.0,0,1,0,1,1,1.321360963723203,18,784143,1,1
160,1.0313928333976343,2.1,0.9,176,6,-0.7115129589157548,19,1,16,7.0,1,0,1,0,0,1.5969649143168665,15,1946100,1,1
161,0.5606605507742074,1.0,0.7,84,2,0.020396700530113582,11,2,19,1.0,0,0,1,1,0,-0.001537999126382259,11,516630,1,1
162,0.7016528286614174,2.9,0.7,166,2,-1.4951085463931095,3,0,12,2.0,0,1,0,1,1,0.7150322724171431,14,343970,1,1
163,1.0313928333976343,2.3,0.9,139,1,-0.6745944388932646,6,1,16,10.0,0,1,1,1,0,0.7701530625358758,10,1297450,1,1
164,-1.3677499596831164,2.3,0.8,97,4,-1.6160166994667648,8,0,18,4.0,0,0,1,0,1,1.5418441241981338,7,2237625,1,1
165,-0.03287145775098301,0.5,0.4,109,6,-1.4941855833925473,11,0,10,6.330049261083744,0,0,1,1,1,-1.434678542213433,34,617022,1,1
166,0.2673056500088834,2.8,0.5,198,6,1.4556041664044204,19,3,17,6.330049261083744,0,0,0,0,0,-0.1669003694825804,0,3196596,0,0
167,1.3679550451283937,0.5,0.7,142,1,-0.9662507470709373,10,1,8,6.330049261083744,0,1,0,0,0,0.10870358111108318,28,480495,1,1
168,0.5515642747814842,0.7,0.6,96,5,0.7569211749787933,16,2,10,5.0,1,1,1,1,1,0.27406595146728135,17,177828,1,1
169,-0.630951604272535,1.5,0.3,152,6,0.7901478429990344,7,2,15,6.0,1,1,0,1,1,1.0457570131295395,26,344034,1,1
170,0.13086151011803504,0.9,0.5,124,5,-1.5089529914015434,4,0,7,1.0,0,1,1,1,1,-0.9937122212635712,3,1031592,0,1
171,-0.103367596694588,0.9,0.5,166,1,-1.4664966933756796,4,0,17,14.0,0,0,0,0,1,-0.3322627398387786,31,1262170,1,1
172,0.46060151485425194,2.1,0.1,118,8,0.17730041062569699,7,2,16,4.0,0,1,1,0,1,-1.600040912569631,28,617967,1,1
173,-1.6406382394648131,1.4,0.8,183,4,1.457450092405545,11,3,17,16.0,0,1,1,0,1,0.05358279099235046,11,642840,1,1
174,-1.1153283008850468,1.7,0.9,150,8,0.0010144775183062232,7,1,18,9.0,1,0,1,0,0,-0.27714194972004585,4,699300,0,1
175,-0.25573021957270203,2.4,0.4,160,6,-0.06913071052442517,12,2,7,6.0,1,0,1,1,1,-1.214195381738502,5,1970253,1,1
176,0.7585045536159376,0.6,0.2,157,7,0.31113004570722397,10,3,12,8.0,0,0,1,0,0,1.4316025439606685,8,2148133,0,1
177,0.7516823466213952,2.8,0.3,110,4,-0.7982714809686068,17,1,9,2.0,0,1,0,0,0,0.6599114822984103,37,87390,1,1
178,0.07173571616533407,0.6,0.5,101,7,1.518365650442654,13,3,5,3.0,1,1,1,1,0,-0.001537999126382259,8,252655,1,1
179,1.399792011102925,3.0,0.1,101,5,-0.22049664261663504,20,1,17,4.0,0,0,1,1,0,-1.3244369619759675,7,317262,1,1
180,-1.395038787661286,1.2,0.2,183,4,1.1058011891913258,7,2,9,1.0,1,1,1,1,1,-1.214195381738502,13,534670,1,1
181,0.7698748986068417,0.5,0.3,197,5,-0.05990108051880262,12,2,19,6.0,0,1,1,0,0,0.5496699020609449,4,1815165,0,1
182,-1.6019790664957394,0.5,1.0,189,5,1.6623478785303656,20,3,16,12.0,0,1,1,0,0,-0.8834706410261057,1,471207,0,1
183,-0.6650626392452471,1.7,0.8,143,6,0.04808559054698124,13,2,7,5.0,0,1,1,1,1,-0.3873835299575113,23,1131000,1,1
184,-1.2585946477704375,0.5,0.8,93,7,-1.2892877972677266,4,0,14,8.0,0,0,0,0,1,-0.1669003694825804,12,280584,1,1
185,1.6158285659301015,1.3,0.1,101,5,0.3258974537162201,20,3,14,8.0,0,1,0,0,0,-0.49762511019497674,1,953104,0,1
186,-0.6627885702470664,0.8,0.1,197,2,0.661855985920881,2,2,16,12.0,0,1,1,0,0,-0.5527459003137094,13,1434720,0,1
187,-0.9948026439814641,2.2,0.4,165,7,-0.4687736897678817,19,1,17,4.0,1,1,0,0,1,1.707206494554332,6,571350,1,1
188,-1.2176614058031832,2.7,0.3,113,1,-0.6026033248494087,7,0,14,7.0,1,0,1,0,0,-0.11177957936384769,32,232170,1,1
189,-0.16704152864365057,2.4,0.2,178,6,-1.2560611292474855,15,0,19,12.0,1,0,0,0,0,0.49454911194221224,23,468684,1,1
190,-0.3557892554926575,0.8,0.1,198,8,0.19575967063694208,17,2,6,1.0,0,0,0,1,1,0.3291867415860141,5,1174326,0,1
191,-0.6354997422688967,2.6,1.0,84,4,1.6983434355522935,6,3,16,1.0,1,1,0,0,0,-0.6629874805511748,34,914991,1,1
192,0.5993197237432811,1.2,0.2,138,5,1.4472974993993601,16,3,17,14.0,1,0,0,1,0,1.2111193834857377,12,38220,0,1
